Ad clicked Date,Ad Title/Id
2023/03/23 14:47:48 UTC,145111864
2021/09/29 01:15:46 UTC,138398196
2021/11/14 15:16:18 UTC,147650356
2022/10/05 09:51:47 UTC,145111864
2021/04/16 02:36:37 UTC,128966864
2021/11/12 18:46:16 UTC,147497656
2021/04/13 09:21:53 UTC,128795614
2022/06/01 03:14:24 UTC,189771496
2023/02/02 15:22:22 UTC,225412133
2022/11/29 00:06:24 UTC,145111864
2021/10/24 03:11:55 UTC,125237614
2022/03/15 02:52:21 UTC,167209366
2021/09/18 11:33:24 UTC,138216246
2021/09/18 11:33:10 UTC,138216246
2021/09/01 01:42:33 UTC,137064324
2021/04/27 13:06:33 UTC,136463973
2022/10/27 16:52:14 UTC,145111864
2022/01/12 04:46:03 UTC,116735964
2022/01/11 07:42:50 UTC,116735964
2022/01/11 07:43:15 UTC,116735964
2022/01/11 07:43:00 UTC,116735964
2021/08/16 11:37:35 UTC,114796064
2021/08/16 11:38:13 UTC,114796064
2021/08/23 01:55:25 UTC,140469354
2021/04/05 13:56:10 UTC,124078734
2021/09/30 11:31:24 UTC,157242963
2021/09/30 11:31:56 UTC,157242963
2021/10/04 02:07:28 UTC,157968233
2021/10/29 02:52:47 UTC,125236834
2021/10/29 02:52:49 UTC,125236834
2021/09/30 11:31:58 UTC,157242963
2021/09/30 11:31:56 UTC,157242963
2021/09/24 16:56:14 UTC,137160596
2021/09/13 03:31:23 UTC,111867514
2021/10/20 02:35:07 UTC,137927024
2021/10/20 02:35:09 UTC,137927024
2021/10/20 02:35:08 UTC,137927024
2021/09/13 03:31:24 UTC,111867514
2022/03/12 12:14:57 UTC,111867514
2021/11/25 02:44:05 UTC,157968233
2021/04/06 08:15:55 UTC,125974444
2022/11/09 14:46:47 UTC,109391614
2021/09/04 06:45:35 UTC,155330173
2022/06/10 00:35:47 UTC,145111864
2021/09/07 02:05:56 UTC,107771514
2023/02/10 07:13:51 UTC,145111864
2023/01/25 10:02:19 UTC,145111864
2022/07/16 03:39:22 UTC,201554063
2021/09/28 02:14:20 UTC,157968233
2022/12/16 15:10:20 UTC,145111864
2021/11/12 06:59:57 UTC,150206036
2021/08/20 02:25:43 UTC,131405086
2022/12/05 03:36:43 UTC,145111864
2021/11/12 07:00:01 UTC,150206036
2022/05/22 23:40:18 UTC,136237916
2023/03/21 14:26:22 UTC,145111864
2021/09/18 02:57:31 UTC,142339504
2022/06/17 00:25:11 UTC,145111864
2023/02/09 13:15:43 UTC,145111864
2021/11/26 04:59:35 UTC,150264346
2022/08/08 03:25:32 UTC,145111864
2023/02/16 03:13:28 UTC,145111864
2022/03/18 04:23:20 UTC,171198216
2021/11/16 18:30:31 UTC,150726246
2021/11/16 18:26:56 UTC,150726246
2021/11/16 18:30:25 UTC,150726246
2021/11/16 18:27:24 UTC,150726246
2021/11/16 18:27:25 UTC,150726246
2022/01/10 18:08:35 UTC,156306306
2022/05/22 06:50:40 UTC,136237916
2021/10/30 01:48:13 UTC,164221613
2022/05/23 05:30:38 UTC,136237916
2022/11/22 15:02:53 UTC,145111864
2021/10/06 16:38:52 UTC,140722974
2021/10/06 16:38:53 UTC,140722974
2021/10/06 16:38:54 UTC,140722974
2021/08/17 11:42:17 UTC,140849624
2022/09/21 13:40:21 UTC,145111864
2022/09/21 21:56:07 UTC,145111864
2022/12/16 15:10:18 UTC,145111864
2023/01/20 03:43:32 UTC,227327453
2023/03/19 15:05:42 UTC,145111864
2022/12/08 15:10:13 UTC,194535683
2021/04/17 04:16:01 UTC,127943084
2021/09/27 09:29:05 UTC,159021273
2021/09/27 09:29:01 UTC,159021273
2021/09/27 09:29:18 UTC,159021273
2021/10/29 17:05:25 UTC,159876273
2021/11/14 15:13:28 UTC,159876273
2021/11/14 15:13:25 UTC,159876273
2021/11/09 04:00:33 UTC,159876273
2021/11/14 15:13:29 UTC,159876273
2021/11/07 14:03:43 UTC,159876273
2021/11/14 15:13:29 UTC,159876273
2021/04/17 04:15:58 UTC,127943084
2021/10/23 04:45:54 UTC,160125523
