Event Name,Event Time,Status,External Url
How does data governance help in the functioning of AI?,"Mar 30, 2023 05:00 PM - Mar 30, 2023 05:30 PM",NOT_ATTENDING,https://www.linkedin.com/events/7047153809608839168/comments/
Data Engineering Talk With Kamran Ali & Ankur,"Mar 25, 2023 09:30 AM - Mar 25, 2023 10:30 AM",ATTENDING,
 Google Cloud Platform (GCP) || Free Technical Workshop,"May 14, 2021 09:30 AM - May 14, 2021 11:00 AM",ATTENDING,
Free Webinar on Architecting With AWS,"Dec 18, 2020 01:30 PM - Dec 18, 2020 03:00 PM",EVICTED,https://attendee.gotowebinar.com/register/8766128442870204685?source=31
AWS Glue Super Class (3-sessions),"Mar 15, 2022 05:00 PM - Mar 17, 2022 07:00 PM",ATTENDING,https://awsvirtual.webex.com/mw3300/mywebex/default.do?nomenu=true&siteurl=awsvirtual&service=6&rnd=0.7753882515166917&main_url=https%3A%2F%2Fawsvirtual.webex.com%2Fec3300%2Feventcenter%2Fprogram%2FprogramDetail.do%3FtheAction%3Ddetail%26internalProgramTicket%3D4832534b00000005eaab84d5c515d17442b9b7089178f92ca84c8f11cdff57074a179da4b1b24539%26siteurl%3Dawsvirtual%26internalProgramTicketUnList%3D4832534b00000005eaab84d5c515d17442b9b7089178f92ca84c8f11cdff57074a179da4b1b24539%26cProgViewID%3D17379247%26PRID%3Da9a656c816bd6ac5332a546fd64e0393
2nd Annual - APAC Data Innovation Summit,"Jan 12, 2023 12:00 AM - Jan 12, 2023 09:30 AM",NOT_ATTENDING,https://apac.datainnovationsummit.com/
BECOMING A PERMANENT RESIDENT,"Sep 22, 2022 11:30 AM - Sep 22, 2022 12:30 PM",ATTENDING,https://tinyurl.com/tracy22sept
PR/CITIZENSHIP SEMINAR; Is it still worth applying? What are the chances?,"Mar 25, 2023 04:30 AM - Mar 25, 2023 06:30 AM",ATTENDING,https://tinyurl.com/mindyseminar
