Platform,Hyperlinks
LinkedIN,https://www.linkedin.com/in/sairam-p-l/
Medium,https://sairamdgr8.medium.com/
Github,https://github.com/sairamdgr8
Instagram,https://www.instagram.com/sairamdgr8/
Facebook,https://www.facebook.com/bunnydgr8/
Datamarias,https://www.datamarias.in/
