Date,Link,OptionText
2023-01-04 13:28:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:7016327025925746688,Data Engineer
2023-01-04 08:41:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7016192356026638336,Apache Airflow
2023-01-03 01:45:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:7014540772179922944,Azure + AWS
2022-12-31 03:52:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7014525969210183681,Sleeping :)
2022-12-27 06:24:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:7012325357966032896,df.take()
2022-12-21 14:27:30,https://www.linkedin.com/feed/update/urn:li:groupPost:1824590-7011275266001920002,Data Engineer
2022-12-18 10:51:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:7009937820412772352,Yes
2022-12-16 22:50:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7006838147917516800,Work From Home 
2022-12-16 15:15:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:7009496408168787968,Natural Language Processing
2022-12-11 09:10:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:7006575882551078912,Secondary Name Node
2022-12-09 07:27:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:7006834894492352512,Both
2022-12-09 00:57:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:7006480286498603008,Coalesce
2022-12-09 00:57:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:7006575306635415552,master-slave fashion
2022-12-06 01:02:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:7005567558888108032, s3/adls2
2022-12-05 02:25:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7005039349503320064,Tortoise 
2022-12-03 05:38:22,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-7004336715884576769,b. Def
2022-12-02 06:20:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7004309291864068097,Yet another resourcenegotiator
2022-12-02 02:57:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:7004253696276463616,75%
2022-11-28 02:07:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:6998995468202438656,"python, sql"
2022-11-27 16:22:26,https://www.linkedin.com/feed/update/urn:li:groupPost:12057217-7002558460676505600,1 2
2022-11-25 16:30:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:7001923591994769408,Databricks
2022-11-24 08:54:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:7001458504867700736,Inner Join
2022-11-21 02:51:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:6998846032906256384,Python
2022-10-13 01:35:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6985187498725412865,Yes
2022-10-08 10:37:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:6984444515520565248,No
2022-09-19 14:24:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6977411050216325121,Strings
2022-09-16 15:52:21,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-6976527733803692033,<class 'dict'>
2022-09-14 15:42:06,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-6975768599030349824,"['s', 'pl', 'it']"
2022-09-11 23:47:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6974239449136148480,Amazon Redshift
2022-08-24 14:41:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:6967706059201241088,4. Whole DSA🥲
2022-08-13 08:12:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6964113908408229888,Pyspark
2022-07-18 13:20:56,https://www.linkedin.com/feed/update/urn:li:groupPost:1824590-6954315333486682112,Python
2022-07-02 02:54:38,https://www.linkedin.com/feed/update/urn:li:groupPost:6773411-6948690893113561088,Data frame 
2022-06-11 06:50:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6941070822329458688,false
2022-06-10 00:39:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6938663242021892096,Yes
2022-06-06 08:41:01,https://www.linkedin.com/feed/update/urn:li:groupPost:1824590-6939102513585364992,regex
2022-05-22 05:39:55,https://www.linkedin.com/feed/update/urn:li:groupPost:1824590-6933995204437782529,Programming
2022-05-11 22:03:59,https://www.linkedin.com/feed/update/urn:li:groupPost:1824590-6930236042163724290,lambda function 
2022-05-09 04:39:31,https://www.linkedin.com/feed/update/urn:li:groupPost:12057217-6929275961716662272,all of the mentioned
2022-05-08 13:32:34,https://www.linkedin.com/feed/update/urn:li:groupPost:1824590-6928935460433973248,"[10, 20, 30, 40]"
2022-04-26 05:53:00,https://www.linkedin.com/feed/update/urn:li:groupPost:12057217-6924587750625079297,"[5, 5, '3', '4']"
2022-04-19 04:32:35,https://www.linkedin.com/feed/update/urn:li:groupPost:12057217-6922029427224707072,2 3
2022-04-16 05:06:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6920959255902658560,Error
2022-04-16 04:34:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6920949213023391744,error
