Date,Type,Link
2022-12-06 15:38:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7005887200504532992
2022-12-05 03:51:37,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7005039349503320064?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7005039349503320064%2C7005356810278764545%29
2022-12-03 08:46:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7004324190438764544
2022-11-29 23:22:30,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003248319195983872
2022-11-29 04:17:43,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7002876110321422336
2022-11-29 00:06:06,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7002857249647783936
2022-11-27 16:31:53,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000966904190230528
2022-11-27 16:23:27,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7002148896936263680
2022-11-27 05:59:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000834792325885952?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7000834792325885952%2C7002149837915779072%29
2022-11-27 05:59:27,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000834792325885952?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7000834792325885952%2C7002449061987405824%29
2022-11-27 01:10:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7002315318295506944
2022-11-27 00:54:52,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7002300077008412672
2022-11-24 14:51:54,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7001533137411284993
2022-11-24 08:14:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001100155626139648
2022-11-23 15:41:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998233667550552066
2022-11-23 14:27:42,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7001081688210501632
2022-11-23 08:12:37,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7001010741415694336
2022-11-23 04:43:37,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000071688583307264
2022-11-23 02:46:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6997816126193717248
2022-11-22 23:17:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000834792325885952?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7000834792325885952%2C7000890879829839873%29
2022-11-22 23:17:52,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000834792325885952?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7000834792325885952%2C7000869948906442752%29
2022-11-22 15:35:07,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000834792325885952
2022-11-22 14:44:36,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000743235702718464
2022-11-21 13:11:43,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000408419677450240?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7000408419677450240%2C7000440302666752000%29
2022-11-21 07:07:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000108341834223616
2022-11-21 07:04:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000055193690112000
2022-10-27 05:04:43,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6990935944421945344
2022-10-17 04:03:04,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6986639176662204416
2022-10-10 14:32:21,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984504673495904256
2022-10-07 17:23:20,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6982677513550397440
2022-10-05 14:17:08,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6982742907636068352
2022-10-01 15:04:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980075009742430208
2022-09-30 04:56:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6981234056021643264
2022-09-21 21:57:15,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978119950079074304
2022-09-18 15:04:37,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977264185298612224
2022-09-16 10:45:13,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976229969274310656
2022-09-16 07:56:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12135067-6976401165664051200
2022-09-14 15:36:37,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6975331698867625984
2022-09-14 13:47:24,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6975700818184347648
2022-09-13 13:41:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A25827-6975142664694317056
2022-09-12 14:37:02,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974751146993180672
2022-09-12 04:07:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974398955035992064
2022-09-11 01:13:15,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974230554279895040
2022-09-11 01:12:54,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12057217-6974230663046594560
2022-09-06 13:59:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6972787035778502657?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6972787035778502657%2C6972805030051553280%29
2022-09-03 14:06:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6971303366610030592
2022-08-29 14:33:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12135067-6969858870647111680
2022-08-29 00:01:54,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6969613955065409537?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6969613955065409537%2C6969733368737320960%29
2022-08-28 11:29:58,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6969613955065409537
2022-08-24 07:31:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6967738213264216064
2022-08-23 01:16:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6967374958196920320
2022-08-16 11:43:05,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965173355926700032
2022-08-12 04:54:11,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963507110965821440
2022-08-11 05:50:39,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963158311240183809
2022-08-11 03:39:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963158311240183809?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6963158311240183809%2C6963319798038495232%29
2022-08-08 03:20:19,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6961701909028048896
2022-08-06 16:19:47,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6959788205290217472
2022-08-04 10:05:25,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6960826139158212608
2022-07-31 10:20:20,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6959043668804558848
2022-07-29 23:08:09,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6958479545448448000
2022-07-29 23:05:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958683418809294848
2022-07-29 13:42:40,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6958694946086277120
2022-07-29 11:30:29,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-6958462672229023745
2022-07-25 12:03:25,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6954099422859284480?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6954099422859284480%2C6957235013419442176%29
2022-07-22 00:53:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6956033521391984640
2022-07-21 23:26:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955901940857733120
2022-07-21 12:34:49,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6955545285951389696
2022-07-21 11:47:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955825829901729792
2022-07-19 09:49:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6955071406061547520
2022-07-18 13:27:32,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6954462899608125440
2022-07-14 23:04:26,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6953359705612177408
2022-07-14 07:14:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6953233433833734144
2022-07-13 13:15:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6952851779164262400
2022-07-13 13:15:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6949591902300045312
2022-07-13 08:18:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6951781832531005440
2022-07-13 08:17:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6951456015653429248
2022-07-07 13:41:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6950407079404703744
2022-07-03 14:56:17,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6949100890322526208
2022-07-03 01:27:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948529298857152512
2022-07-02 02:54:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948643226614386688
2022-07-02 02:02:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948577941580587008
2022-06-30 06:31:29,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948099116610531328
2022-06-25 03:05:39,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6945931171981602816
2022-06-25 02:56:03,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6946196318365110272
2022-06-24 10:37:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6940845627719192576
2022-06-17 15:09:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6943402431477071872
2022-06-08 22:37:55,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6940215007997485056
