Date,Link,Message
2022-09-19 14:15:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977264185298612224,??
2022-09-17 03:23:28,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6973505980726743040,Same religious country fights so this didn't bumped...other wise it would have shaken the world badly....☹️ Bilaterally
2022-09-15 23:55:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976231682781679616,Following 
2022-09-12 14:37:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974751146993180672,#support 
2022-08-29 14:35:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6969990450074001408,Hopefully 🙏
2022-08-29 00:02:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6969613955065409537,Glad for the support.. Mitchell van Rijkom
2022-08-28 11:22:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6952956138476732416,Ranjith Gonugunta i tried to exted Mitchell van Rijkom post ..
in practical way..
kindly go through the reading if possible.
2022-08-28 11:19:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6952956138476732416,Mitchell van Rijkom adding some boost to this post...

https://www.linkedin.com/feed/update/urn:li:ugcPost:6969613955065409537?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3AugcPost%3A6969613955065409537%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29
2022-08-11 03:42:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963311666402922498,Sathish Kumar G  ❤️
2022-08-11 03:39:33,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963158311240183809,Thanks babai🤝
2022-08-07 13:02:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6961991986790760448,Balayya babu rocks in tech world as well😅
2022-07-29 23:05:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6958847690491269120,Congratulations Sreeharsha Naik
2022-07-29 13:43:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6958694946086277120,Congratulations bhai...Shravan Kumar Sharma
2022-07-28 02:28:31,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6957781709337559042,Congrats Nashra... Al the best…
2022-07-27 08:25:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6957946732420755456,Congratulations Harshpreet Kaur
2022-07-23 05:11:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6954099422859284480,https://sairamdgr8.medium.com/spark-adaptive-query-execution-performance-optimization-using-pyspark-43b05f24fd0a


Kindly go through this link for more handson
2022-07-21 11:50:44,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955738744649895936,Finally....Siddharth Nautiyal
2022-07-19 09:49:22,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6955071406061547520,Congratulations..Cheshtha Thakur
2022-07-18 13:31:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6954462899608125440,Money ...money....money.....fake...fake...fake...#cfbr #fakenews #support #fake #fakefeminism #milaap #keto #humansofbombay Humans of Bombay lost their reputation. I belive ...
2022-07-15 09:02:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6953625372202532864,Narendra Modi
2022-07-14 11:58:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6953233433833734144,Jasti Sai Babuhmm ..any have congratulations..
2022-07-14 07:19:22,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6953233433833734144,They haven’t printed your name on borosil ??Jasti Sai Babu
2022-07-13 13:05:46,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6950146926507868161,Kumari Prerna write a mail to databricks team definitely they will help to recover .. hopefully all goes good...
2022-07-13 08:19:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6950146926507868161,How come??Kumari Prerna   do passwords compromised?
2022-07-07 13:39:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948599246879100928,Sravana Lakshmi Pisupatiok... thanks mam...will look into it ...you can share any related scenario doc if possibe
2022-07-07 03:59:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948599246879100928,Sravana Lakshmi Pisupati  pandas udfs means which doesn't comes with distributed approach? Please correct me if I'm wrong ...
2022-07-03 03:20:01,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6947867308035846144,How this is helpful to LinkedIn community.  Could explain sir ..if possible...Principal Rasik Gupta 
2022-07-02 06:11:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948599246879100928,Vijay S C  tha ks for the post ...but u can't avaiid business logic where some times it require UDF functions 
2022-07-02 02:56:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948643226614386688,Priyanta Basak irony is that ...people will stay in Banglore and spread negativity....
2022-06-30 06:43:27,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6947058854949978112,Kindly go through my blog..
SUSHANTA KHARA   Pardeep Gorla

https://sairamdgr8.medium.com/spark-adaptive-query-execution-performance-optimization-using-pyspark-43b05f24fd0a
2022-06-25 03:06:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6946014154902102016,Reach++
2022-06-25 02:57:17,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6946196318365110272,Congratulations sirji...
2022-06-09 13:17:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6940215007997485056,Rahul Esikala with all  your blessings I'm here ..
2022-06-08 22:38:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6940215007997485056,Congratulations bro ...
2022-06-08 15:11:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6940209311360892928,Rahul Esikala  check this...for your reference
2022-05-29 16:35:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6936647088659144704,I think he went into hallucination at second time Ajith Sasidharan 
2022-05-29 00:50:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6935115641708253184,#freshersjobs  #widerreach
