Company Name,Title,Description,Location,Started On,Finished On
DBS Bank,Data Engineer,,Singapore,May 2022,
EY,Consultant-I,,"Bengaluru, Hyderabad",Mar 2021,May 2022
Genpact,Big Data Engineer,,"Noida, Hyderabad",Mar 2018,Mar 2021
KPMG India,Sharepoint Developer,Worked on content management system,"Gurgaon, Haryana, India",Jul 2017,Jul 2017
